"","lon","lat"
"213",-104.81066,39.7742
"214",-104.8945,39.7405
"215",-104.89534,39.78546
"216",-105.0112,39.7113
"217",-104.79856,39.77288
"218",-104.9767,39.7403
"219",-104.984878,39.725613
"220",-105.05205,39.65363
"221",-105.00084,39.73974
"222",-104.987813,39.741451
"223",-104.96313,39.679005
"224",-104.987967,39.676532
"225",-104.809167,39.774122
"226",-104.900055,39.76757
"227",-105.02457,39.67745
"228",-104.90295,39.653008
"229",-104.99442,39.746597
"230",-104.97484,39.730595
"232",-104.94091,39.69925
"233",-104.99258,39.74521
"234",-104.94064,39.69754
"235",-104.99203,39.745705
"236",-104.9162,39.6535
"237",-104.90227,39.7683
"238",-104.987578,39.674399
"239",-104.77418,39.78164
"240",-104.98302,39.71124
"241",-104.91629,39.65393
"242",-105.0062,39.7808
"244",-105.03126,39.76908
"245",-104.980823,39.740209
"246",-104.9414,39.67843
"247",-104.9418,39.7402
"248",-104.98757,39.679
"249",-104.97875,39.777767
"250",-104.99235,39.69149
"251",-105.052795,39.710995
"252",-104.987478,39.725651
"253",-104.92888,39.652636
"254",-105.025558,39.678955
"255",-105.000435,39.739723
"256",-104.9401,39.774
"257",-105.0257,39.7853
"258",-104.903091,39.74057
"259",-105.006978,39.769646
"260",-104.77392,39.783222
"261",-104.951248,39.779163
"262",-104.88596,39.65295
"263",-104.90058,39.65292
"264",-104.94042,39.69664
"265",-104.941955,39.679848
"266",-104.998589,39.741323
"267",-105.080855,39.666206
"269",-104.990255,39.754681
"270",-104.894484,39.785285
"271",-104.995895,39.746014
"272",-105.039648,39.740147
"273",-104.895501,39.638677
"274",-104.991817,39.745034
"275",-104.984483,39.739371
"276",-104.927401,39.708192
"277",-104.807501,39.7737
"278",-104.922438,39.721831
"279",-105.024572,39.679471
"280",-105.055091,39.68176
"281",-104.940965,39.756882
"282",-104.94069,39.67745
"283",-104.941356,39.773225
"284",-104.972885,39.76223
"285",-104.975,39.7447
"286",-104.8775,39.6531
"287",-104.9497,39.781
"288",-104.9691,39.6788
"289",-104.9402,39.6716
"290",-104.9402,39.7625
"291",-104.9346,39.7404
"292",-104.8944,39.7398
"293",-105.0137,39.7115
"294",-104.9401,39.7637
"295",-105.0343,39.7619
"296",-104.97165,39.732746
"299",-104.86985,39.65414
"300",-104.98033,39.68234
"302",-104.99459,39.749107
"303",-104.99163,39.74523
"304",-104.9165,39.65329
"305",-104.90405,39.65171
"306",-104.7718,39.78268
"307",-104.80937,39.78406
"308",-104.84645,39.77992
"309",-104.84644,39.78192
"310",-104.98118,39.759
"311",-104.99163,39.74523
"312",-104.98082,39.74029
"313",-105.00628,39.78087
"314",-105.00734,39.74638
"315",-104.99671,39.74771
"316",-104.97376,39.67831
"317",-104.95888,39.67978
"318",-104.89089,39.78605
"319",-104.91504,39.67892
"320",-105.02433,39.68074
"321",-105.02483,39.68016
"322",-105.05267,39.65542
"323",-105.05363,39.67939
"324",-104.99759,39.7484
"325",-104.81068,39.77356
"326",-104.84685,39.77758
"327",-104.76834,39.78416
"328",-104.90053,39.7676
"329",-104.9993,39.7383
"330",-104.99907,39.75028
"331",-104.96757,39.7397
"332",-104.90427,39.69838
"333",-105.00467,39.73967
"334",-104.80914,39.77411
"335",-104.84647,39.7763
"336",-104.9832,39.72488
"337",-104.774,39.78334
"338",-104.7986,39.7733
"339",-104.95092,39.77916
"340",-105.02522,39.69072
"341",-105.00734,39.74638
"344",-104.98829,39.7417
"345",-104.92191,39.71285
"346",-105.00054,39.73949
"347",-105.00742,39.74634
"348",-104.90026,39.65355
"349",-105.02457,39.67745
"350",-104.95978,39.7201
"351",-104.99419,39.74654
"352",-104.96805,39.67833
"353",-104.77136,39.7846
"354",-104.89448,39.63741
"356",-105.00338,39.75339
"357",-104.9068,39.65347
"358",-104.98778,39.74145
"359",-104.94125,39.77323
"360",-104.77432,39.78173
"361",-104.96136,39.73966
"362",-104.96614,39.75899
"363",-105.01367,39.71147
"364",-105.02558,39.74361
"365",-104.94338,39.74031
"366",-105.03962,39.7402
"367",-104.99217,39.74492
"368",-104.98453,39.72583
"369",-104.88552,39.65178
"370",-104.94107,39.69344
"372",-104.98801,39.70871
"373",-104.92636,39.74044
"374",-104.99144,39.73831
"375",-104.95906,39.73978
"376",-105.03782,39.76971
"377",-104.87682,39.70856
"378",-104.95723,39.73998
"379",-104.96614,39.75899
"380",-104.96634,39.74032
"381",-104.90532,39.65366
"382",-104.94095,39.75687
"384",-105.02477,39.71014
"385",-105.02419,39.71154
"386",-104.89434,39.74043
"387",-104.90012,39.76602
"388",-104.84777,39.78293
"389",-105.02557,39.78616
"390",-104.84362,39.77226
"391",-104.96614,39.75899
"393",-105.03566,39.7761
"394",-104.88245,39.78699
"395",-104.89326,39.78572
"396",-104.94017,39.77308
"398",-105.05287,39.71091
"399",-105.05274,39.72497
"400",-104.99813,39.74983
"401",-104.91668,39.73965
"402",-104.91623,39.65381
"403",-104.94039,39.69131
"404",-104.95913,39.67821
"405",-104.84685,39.77629
"406",-104.92377,39.73979
"407",-104.80903,39.7755
"408",-104.84362,39.77226
"409",-104.77231,39.78267
"410",-104.94035,39.77363
"411",-104.98775,39.70998
"412",-104.94097,39.67974
"413",-104.9542,39.74026
"414",-105.02567,39.7696
"415",-104.94025,39.71119
"416",-104.77167,39.78565
"417",-104.94053,39.67861
"418",-104.90474,39.76643
"419",-104.892,39.78486
"420",-104.97332,39.71168
"421",-104.89866,39.64314
"422",-105.01891,39.71084
"423",-105.008,39.74729
"424",-104.940171557,39.763631184
"425",-104.899574,39.74044
"426",-104.940215,39.673615
"427",-104.94524,39.77289
"428",-105.0253,39.7437
"429",-105.007593,39.769554
"430",-105.03437,39.762158
"431",-104.949724,39.781003
"432",-104.939986,39.689641
"433",-105.00076,39.75098
"434",-104.8694,39.7903
"436",-104.9873,39.7251
"437",-104.9873,39.7155
"438",-104.9833,39.7367
"439",-104.810093,39.773369
"440",-104.960768,39.740136
"441",-104.9412,39.6951
"442",-104.959788,39.679261
"443",-104.951826,39.719372
"444",-104.988998,39.742936
"445",-105.025833,39.788998
"446",-104.941577,39.670411
"447",-104.87243,39.78994
"448",-104.97874,39.77785
"449",-104.98111,39.731285
"450",-104.95895,39.7144
"451",-104.94946,39.7189
"452",-104.90155,39.75794
"453",-104.89105,39.78527
"455",-104.9405,39.6674
"456",-104.99642,39.74434
"457",-104.98869,39.7433
"458",-104.99082,39.74388
"459",-104.99459,39.749107
"460",-105.02558,39.74361
"461",-104.971375,39.740007
"463",-105.025703,39.744887
"464",-104.994209,39.765954
"465",-104.977603,39.747612
"466",-104.950908,39.718833
"467",-104.996961,39.748787
"468",-104.86974,39.790287
"469",-104.911649,39.702374
"470",-104.807501,39.77359
"471",-104.983669,39.710731
"472",-104.94092,39.756754
"473",-104.940522,39.688378
"474",-105.005625,39.745471
"475",-105.052648,39.655293
"477",-104.99893,39.738096
"478",-105.025748,39.769602
"479",-105,39.7502
"480",-104.9053,39.6536
"481",-104.8088,39.7736
"482",-105.0536,39.6794
"483",-105.0526,39.6553
"484",-105.04698,39.772396
"485",-104.81068,39.77356
"486",-105.02567,39.7696
"487",-104.903361,39.765636
"488",-105.02571,39.74702
"489",-104.97795,39.78925
"490",-104.90195,39.65312
"491",-105.0529,39.70022
"492",-104.98632,39.7308
"493",-105.0813,39.66585
"494",-105.02359,39.7696
"495",-105.025856,39.73402
"496",-104.99215,39.7448
"497",-104.80879,39.7736
"498",-104.97658,39.74049
"499",-104.76853,39.78383
"500",-104.99133,39.7492
"501",-104.98335,39.73663
"502",-104.98307,39.71143
"503",-104.89695,39.6377
"504",-104.98798,39.72524
"505",-104.99163,39.74523
"506",-104.90058,39.65292
"507",-104.97504,39.73394
"508",-104.90327,39.72057
"509",-104.95976,39.67914
"510",-104.89493,39.63829
"511",-104.98861,39.71854
"512",-104.9404,39.67685
"513",-105.0396,39.7401
"514",-105.002121,39.746268
"515",-104.94031,39.72767
"516",-104.903289,39.720459
"517",-104.940884538,39.764700525
"518",-104.9895,39.7449
"519",-105.02351,39.71107
"520",-104.940234299,39.692714554
"521",-105.000942,39.739711
"522",-104.940489,39.678478
"523",-104.772804,39.78155
"524",-104.98111,39.731285
"525",-105.03783,39.769718
"526",-104.906281,39.653137
"527",-104.983,39.7364
"528",-104.99424,39.764626
"529",-104.987103,39.725147
"530",-104.885515,39.651776
"531",-104.959461,39.739534
"532",-104.846768,39.781224
"533",-104.812516,39.78482
"535",-104.987465,39.724901
"536",-104.808798,39.773604
"537",-104.9767,39.739764
"538",-104.99909,39.7377
"539",-104.914218,39.667318
"540",-105.05266,39.655399
"541",-104.986133,39.730884
"542",-104.940289,39.727672
"543",-104.900552,39.767987
"544",-105.024666,39.675805
"545",-104.808798,39.773604
"546",-104.98744,39.725452
"547",-104.914107,39.667285
"548",-104.983131,39.724476
"549",-104.969231,39.742867
"550",-104.977536,39.748966
"551",-104.905377,39.698213
"552",-104.914146,39.676317
"553",-104.993611,39.746382
"554",-104.895307,39.636555
"555",-104.810661,39.774203
"556",-104.905377,39.698213
"557",-104.905377,39.698213
"558",-104.991627,39.745201
"559",-104.996364,39.746537
"560",-104.98703,39.678272
"561",-105.025005,39.680822
"562",-104.96634,39.74032
"563",-105.025499,39.691074
"564",-104.967815,39.678506
"565",-104.950544,39.74017
"566",-104.990052,39.740822
"567",-104.95938,39.679551
"568",-104.969273,39.742899
"569",-104.87085,39.67478
"570",-104.846576361,39.781654407
"571",-104.98744,39.725456
"572",-104.940978,39.756884
"574",-104.99163,39.74523
"575",-104.9871,39.7239
"576",-104.98756,39.67825
"577",-104.9407,39.66644
"578",-104.95267,39.717503
"579",-104.91265,39.67818
"580",-104.98111,39.731285
"581",-105.03493,39.76213
"582",-105.03089,39.71156
"584",-104.92967,39.65392
"585",-104.91293,39.7501
"586",-104.99813,39.74983
"587",-104.959225,39.678332
"588",-104.91597,39.65289
"589",-104.915783819,39.740362155
"590",-104.941218495,39.677806
"591",-104.99879,39.74952
"592",-104.98869,39.742523
"593",-104.90413,39.69875
"594",-105.00404,39.71843
"595",-104.95267,39.717503
"596",-104.985245,39.744568
"597",-104.91746,39.74023
"598",-104.84646,39.78091
"599",-104.916214,39.653996
"600",-105.0253,39.7437
"601",-104.93981,39.69183
"602",-105.05276,39.69749
"603",-104.98783,39.734932
"604",-105.0256,39.69987
"605",-104.9941,39.74666
"606",-104.883705,39.651833
"607",-105.02437,39.67944
"608",-104.84787,39.77729
"609",-104.91269,39.6757
"610",-104.93392,39.69934
"611",-104.92495,39.73971
"612",-104.98871,39.742924
"613",-104.90163,39.766205
"614",-104.98309,39.724903
"615",-104.9966159,39.7476866
"616",-104.983057,39.711459
"617",-104.994292,39.746358
"618",-104.98739,39.733665
"619",-104.987915,39.669113
"620",-104.9654436,39.7398944
"621",-104.89535,39.627026
"622",-104.99409,39.74665
"623",-104.994428,39.748918
"624",-104.95267,39.717503
"625",-104.98731,39.73958
"626",-104.94078,39.72841
"627",-105.02514,39.66274
"628",-104.98708,39.724716
"629",-104.80749,39.77359
"630",-104.98072,39.73708
"631",-104.76773,39.78466
"632",-104.90413,39.69875
"633",-104.98765,39.67925
"634",-104.967812,39.678329
"635",-104.84802,39.771174
"636",-104.97309,39.74002
"637",-104.969734,39.67873
"638",-104.84751,39.76902
"639",-104.80914,39.77466
"640",-104.97755,39.74751
"641",-105.02519,39.7899
"642",-105.02435,39.67782
"643",-104.994063,39.746541
"644",-104.89237,39.787003
"645",-104.98716,39.67771
"646",-105.03487,39.77606
"647",-105.0256,39.69987
"648",-105.02463,39.7103
"649",-104.95008,39.72313
"650",-104.92644,39.70489
"651",-104.91266,39.70207
"652",-104.87658,39.708218
"653",-104.98738,39.74069
"654",-104.81252,39.78482
"656",-104.902374,39.76541
"657",-105.082856,39.638285
"658",-104.9832009,39.724886
"659",-104.90517,39.65313
"660",-105.008,39.7613
"661",-104.895422458,39.78520789
"662",-104.91668,39.73965
"663",-104.75565,39.778263
"664",-104.992891,39.750388
"666",-105.0014,39.769447
"667",-104.950309,39.739894
"668",-105.00078,39.74477
"669",-105.00207,39.76868
"670",-105.00078,39.74477
"671",-105.00207,39.76868
"672",-104.91694,39.653477
"673",-105.0075,39.75239
"674",-104.96896,39.67877
"675",-104.996471,39.748593
"676",-104.900253,39.767573
"677",-104.901821,39.630948
"678",-104.903289,39.720459
"679",-104.891149,39.785156
"680",-104.916778,39.739955
"681",-104.903289,39.720459
